pftnum,pftname,sla_min,sla_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,0.0073,0.0127
2,needleleaf_evergreen_boreal_tree,0.0073,0.0127
3,needleleaf_deciduous_boreal_tree,0.0177,0.0226
4,broadleaf_evergreen_tropical_tree,0.0158,0.022
5,broadleaf_evergreen_temperate_tree,0.0158,0.022
6,broadleaf_deciduous_tropical_tree,0.0278,0.0336
7,broadleaf_deciduous_temperate_tree,0.0278,0.0336
8,broadleaf_deciduous_boreal_tree,0.0278,0.0336
9,broadleaf_evergreen_shrub,0.0147,0.0212
10,broadleaf_deciduous_temperate_shrub,0.0277,0.0337
11,broadleaf_deciduous_boreal_shrub,0.0248,0.0312
12,c3_arctic_grass,0.0178,0.0242
13,c3_non-arctic_grass,0.0371,0.0434
14,c4_grass,0.0351,0.0418
15,c3_crop,0.0371,0.0434
16,c3_irrigated,0.0371,0.0434
17,temperate_corn,0.0371,0.0434
18,irrigated_temperate_corn,0.0371,0.0434
19,spring_wheat,0.0371,0.0434
20,irrigated_spring_wheat,0.0371,0.0434
21,winter_wheat,0.0371,0.0434
22,irrigated_winter_wheat,0.0371,0.0434
23,temperate_soybean,0.0371,0.0434
24,irrigated_temperate_soybean,0.0371,0.0434
25,barley,0.0371,0.0434
26,irrigated_barley,0.0371,0.0434
27,winter_barley,0.0371,0.0434
28,irrigated_winter_barley,0.0371,0.0434
29,rye,0.0371,0.0434
30,irrigated_rye,0.0371,0.0434
31,winter_rye,0.0371,0.0434
32,irrigated_winter_rye,0.0371,0.0434
33,cassava,0.0371,0.0434
34,irrigated_cassava,0.0371,0.0434
35,citrus,0.0371,0.0434
36,irrigated_citrus,0.0371,0.0434
37,cocoa,0.0371,0.0434
38,irrigated_cocoa,0.0371,0.0434
39,coffee,0.0371,0.0434
40,irrigated_coffee,0.0371,0.0434
41,cotton,0.0371,0.0434
42,irrigated_cotton,0.0371,0.0434
43,datepalm,0.0371,0.0434
44,irrigated_datepalm,0.0371,0.0434
45,foddergrass,0.0371,0.0434
46,irrigated_foddergrass,0.0371,0.0434
47,grapes,0.0371,0.0434
48,irrigated_grapes,0.0371,0.0434
49,groundnuts,0.0371,0.0434
50,irrigated_groundnuts,0.0371,0.0434
51,millet,0.0371,0.0434
52,irrigated_millet,0.0371,0.0434
53,oilpalm,0.0371,0.0434
54,irrigated_oilpalm,0.0371,0.0434
55,potatoes,0.0371,0.0434
56,irrigated_potatoes,0.0371,0.0434
57,pulses,0.0371,0.0434
58,irrigated_pulses,0.0371,0.0434
59,rapeseed,0.0371,0.0434
60,irrigated_rapeseed,0.0371,0.0434
61,rice,0.0371,0.0434
62,irrigated_rice,0.0371,0.0434
63,sorghum,0.0371,0.0434
64,irrigated_sorghum,0.0371,0.0434
65,sugarbeet,0.0371,0.0434
66,irrigated_sugarbeet,0.0371,0.0434
67,sugarcane,0.0371,0.0434
68,irrigated_sugarcane,0.0371,0.0434
69,sunflower,0.0371,0.0434
70,irrigated_sunflower,0.0371,0.0434
71,miscanthus,0.0371,0.0434
72,irrigated_miscanthus,0.0371,0.0434
73,switchgrass,0.0371,0.0434
74,irrigated_switchgrass,0.0371,0.0434
75,tropical_corn,0.0371,0.0434
76,irrigated_tropical_corn,0.0371,0.0434
77,tropical_soybean,0.0371,0.0434
78,irrigated_tropical_soybean,0.0371,0.0434