pftnum,pftname,taulnir_min,taulnir_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,0.23,0.39
2,needleleaf_evergreen_boreal_tree,0.27,0.39
3,needleleaf_deciduous_boreal_tree,0.38,0.46
4,broadleaf_evergreen_tropical_tree,0.27,0.39
5,broadleaf_evergreen_temperate_tree,0.23,0.43
6,broadleaf_deciduous_tropical_tree,0.37,0.49
7,broadleaf_deciduous_temperate_tree,0.33,0.53
8,broadleaf_deciduous_boreal_tree,0.37,0.49
9,broadleaf_evergreen_shrub,0.27,0.39
10,broadleaf_deciduous_temperate_shrub,0.37,0.49
11,broadleaf_deciduous_boreal_shrub,0.37,0.49
12,c3_arctic_grass,0.34,0.46
13,c3_non-arctic_grass,0.34,0.46
14,c4_grass,0.34,0.46
15,c3_crop,0.32,0.48
16,c3_irrigated,0.32,0.48
17,temperate_corn,0.32,0.48
18,irrigated_temperate_corn,0.32,0.48
19,spring_wheat,0.32,0.48
20,irrigated_spring_wheat,0.32,0.48
21,winter_wheat,0.32,0.48
22,irrigated_winter_wheat,0.32,0.48
23,temperate_soybean,0.32,0.48
24,irrigated_temperate_soybean,0.32,0.48
25,barley,0.32,0.48
26,irrigated_barley,0.32,0.48
27,winter_barley,0.32,0.48
28,irrigated_winter_barley,0.32,0.48
29,rye,0.32,0.48
30,irrigated_rye,0.32,0.48
31,winter_rye,0.32,0.48
32,irrigated_winter_rye,0.32,0.48
33,cassava,0.32,0.48
34,irrigated_cassava,0.32,0.48
35,citrus,0.32,0.48
36,irrigated_citrus,0.32,0.48
37,cocoa,0.32,0.48
38,irrigated_cocoa,0.32,0.48
39,coffee,0.32,0.48
40,irrigated_coffee,0.32,0.48
41,cotton,0.32,0.48
42,irrigated_cotton,0.32,0.48
43,datepalm,0.32,0.48
44,irrigated_datepalm,0.32,0.48
45,foddergrass,0.32,0.48
46,irrigated_foddergrass,0.32,0.48
47,grapes,0.32,0.48
48,irrigated_grapes,0.32,0.48
49,groundnuts,0.32,0.48
50,irrigated_groundnuts,0.32,0.48
51,millet,0.32,0.48
52,irrigated_millet,0.32,0.48
53,oilpalm,0.32,0.48
54,irrigated_oilpalm,0.32,0.48
55,potatoes,0.32,0.48
56,irrigated_potatoes,0.32,0.48
57,pulses,0.32,0.48
58,irrigated_pulses,0.32,0.48
59,rapeseed,0.32,0.48
60,irrigated_rapeseed,0.32,0.48
61,rice,0.32,0.48
62,irrigated_rice,0.32,0.48
63,sorghum,0.32,0.48
64,irrigated_sorghum,0.32,0.48
65,sugarbeet,0.32,0.48
66,irrigated_sugarbeet,0.32,0.48
67,sugarcane,0.32,0.48
68,irrigated_sugarcane,0.32,0.48
69,sunflower,0.32,0.48
70,irrigated_sunflower,0.32,0.48
71,miscanthus,0.32,0.48
72,irrigated_miscanthus,0.32,0.48
73,switchgrass,0.32,0.48
74,irrigated_switchgrass,0.32,0.48
75,tropical_corn,0.32,0.48
76,irrigated_tropical_corn,0.32,0.48
77,tropical_soybean,0.32,0.48
78,irrigated_tropical_soybean,0.32,0.48