pftnum,pftname,taulvis_min,taulvis_max
0,not_vegetated,0,0
1,needleleaf_evergreen_temperate_tree,0.02,0.06
2,needleleaf_evergreen_boreal_tree,0.03,0.07
3,needleleaf_deciduous_boreal_tree,0.04,0.08
4,broadleaf_evergreen_tropical_tree,0.04,0.08
5,broadleaf_evergreen_temperate_tree,0.01,0.18
6,broadleaf_deciduous_tropical_tree,0.03,0.07
7,broadleaf_deciduous_temperate_tree,0.01,0.14
8,broadleaf_deciduous_boreal_tree,0.03,0.07
9,broadleaf_evergreen_shrub,0.04,0.08
10,broadleaf_deciduous_temperate_shrub,0.04,0.08
11,broadleaf_deciduous_boreal_shrub,0.04,0.08
12,c3_arctic_grass,0.04,0.08
13,c3_non-arctic_grass,0.03,0.07
14,c4_grass,0.03,0.07
15,c3_crop,0.01,0.09
16,c3_irrigated,0.01,0.09
17,temperate_corn,0.01,0.09
18,irrigated_temperate_corn,0.01,0.09
19,spring_wheat,0.01,0.09
20,irrigated_spring_wheat,0.01,0.09
21,winter_wheat,0.01,0.09
22,irrigated_winter_wheat,0.01,0.09
23,temperate_soybean,0.01,0.09
24,irrigated_temperate_soybean,0.01,0.09
25,barley,0.01,0.09
26,irrigated_barley,0.01,0.09
27,winter_barley,0.01,0.09
28,irrigated_winter_barley,0.01,0.09
29,rye,0.01,0.09
30,irrigated_rye,0.01,0.09
31,winter_rye,0.01,0.09
32,irrigated_winter_rye,0.01,0.09
33,cassava,0.01,0.09
34,irrigated_cassava,0.01,0.09
35,citrus,0.01,0.09
36,irrigated_citrus,0.01,0.09
37,cocoa,0.01,0.09
38,irrigated_cocoa,0.01,0.09
39,coffee,0.01,0.09
40,irrigated_coffee,0.01,0.09
41,cotton,0.01,0.09
42,irrigated_cotton,0.01,0.09
43,datepalm,0.01,0.09
44,irrigated_datepalm,0.01,0.09
45,foddergrass,0.01,0.09
46,irrigated_foddergrass,0.01,0.09
47,grapes,0.01,0.09
48,irrigated_grapes,0.01,0.09
49,groundnuts,0.01,0.09
50,irrigated_groundnuts,0.01,0.09
51,millet,0.01,0.09
52,irrigated_millet,0.01,0.09
53,oilpalm,0.01,0.09
54,irrigated_oilpalm,0.01,0.09
55,potatoes,0.01,0.09
56,irrigated_potatoes,0.01,0.09
57,pulses,0.01,0.09
58,irrigated_pulses,0.01,0.09
59,rapeseed,0.01,0.09
60,irrigated_rapeseed,0.01,0.09
61,rice,0.01,0.09
62,irrigated_rice,0.01,0.09
63,sorghum,0.01,0.09
64,irrigated_sorghum,0.01,0.09
65,sugarbeet,0.01,0.09
66,irrigated_sugarbeet,0.01,0.09
67,sugarcane,0.01,0.09
68,irrigated_sugarcane,0.01,0.09
69,sunflower,0.01,0.09
70,irrigated_sunflower,0.01,0.09
71,miscanthus,0.01,0.09
72,irrigated_miscanthus,0.01,0.09
73,switchgrass,0.01,0.09
74,irrigated_switchgrass,0.01,0.09
75,tropical_corn,0.01,0.09
76,irrigated_tropical_corn,0.01,0.09
77,tropical_soybean,0.01,0.09
78,irrigated_tropical_soybean,0.01,0.09